#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Coprobacter"	0.134871	0.529787	0.270177	0	0	0.135287	0	0.527675	0	0	0	0	0	0.063049	0	0.703297	0.037522	0	0	0	0.081829	0	0.793899	0	0	0	0	0.169068	0	0	0	0	0	0.49544	0	0	0	0	0.545008	0.897693	0.306727	0.587346	0	0	0	0	0	0.132528	0	0	0	0	0.161211	0.025634	0.836562	0.942177	0	0.306322	0	0	0	0	0.313991	0.305051	0.700375	0	0.663579	0	0	0.108724	0	0.877865	0.035023	0	0.793269	0	0.726735	0	0	0	0	0	0	0.263125	0.765599	0.724182	0.720384	1.170954	0	0	0	0	0	2.928405	0	0	0.660135
"Butyricimonas"	0.060616	0.4045	0.270177	1.175556	1.019043	1.008872	0	0.281181	0	0	0	1.459044	2.706292	0.103293	0	0.617143	0.417362	0	1.310288	0.903671	0.779954	1.249439	3.619875	2.758196	1.898105	2.867076	1.803651	1.349574	0.901076	1.409459	0	1.002812	0.089124	1.164626	2.368885	0	0	0	0	1.183398	1.548389	1.035928	1.809258	0	0	0	0	1.834567	0	0.963451	0.450988	0	0.110302	0	0.640493	1.77578	0	0.187465	0.028741	0.183514	1.58633	1.156882	1.377046	1.460757	1.385603	0.486797	0.687079	0	0.668809	0.945971	0.5004	1.509269	0	0.463819	0.693582	0	0.226766	0.579184	0	0.675341	2.636847	0.065166	0.599448	1.652262	0.84587	0	0	1.899294	0	0	0.112134	0	0.480624	0	0.044807	0.698249	1.998204
"Gabonibacter"	0	0	0	0.072822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Odoribacter"	4.005213	2.435052	1.379327	2.521847	0.504375	1.472518	0.25007	1.822878	0	1.068029	0	1.961746	2.117358	0.803541	0.853125	1.513846	1.487032	0	1.953437	2.484848	1.438594	2.109259	1.901541	1.810542	1.421544	0.36306	1.885922	1.747031	0.999705	2.371471	0	0	0	0.320936	1.717338	2.317881	0	2.470703	1.979857	1.712573	1.574014	0.184104	1.007828	0	0	0	0	1.738011	2.782754	2.105988	1.722046	0	1.927586	0.067931	1.665655	1.304691	0.943387	0.571092	0.902454	2.160645	0	2.622714	1.715664	0.201334	1.464224	0.159447	0.918991	0	0.853424	1.811324	3.016858	1.892563	0	1.486843	1.791824	0.397681	2.34583	0.957815	0	2.213106	1.038151	2.736952	0.118795	1.705849	1.832431	0.37486	2.09574	2.027258	0.684038	0	1.388692	0	0	0	0.942401	1.349405	1.614743
"CAG-1031"	0	0	0	0.715982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.052355	0
"CAG-279"	0	0	0	0	0	0	0	0.615498	0	0	0	0	0	0	0	0	0	0	0	0	0.542477	0	0	0	0	0	0	0	0	0	0	0	0.997979	0	0	0.875881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055565	0	0.755737	0	0	0	0	0	0	0	0.18782	0	0	0	0	0	0	0.677603	0.633424	0	0	0	0	0	0	0	0	1.106817	0	0	0	0
"CAG-485"	0	0	0	0.068538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Muribaculum"	0.090924	0.071593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alistipes"	6.216187	4.00741	2.226001	2.713999	4.006862	2.393691	0	3.180812	0	1.090562	1.104557	2.437906	2.012604	2.796968	1.424226	0.99956	3.113761	0.033462	3.279719	2.865759	3.39563	4.765979	2.290094	2.837892	2.431636	4.949722	4.313392	1.730224	1.780682	0	0.148078	2.35275	1.159646	3.842885	4.571575	3.866695	0.084132	0	0.818685	2.920814	4.319027	4.489936	4.155564	0	0	0	2.606631	2.642988	1.068475	4.226614	3.083099	0	2.684274	0	2.704822	1.227522	1.718177	2.510484	3.902972	2.803358	1.421133	0.53128	2.035811	5.302654	1.534189	0.825019	4.214003	0.104867	1.129507	3.874117	1.783649	2.422579	0.924795	2.38754	3.27614	0	4.611944	2.455048	4.551519	4.519333	2.281264	0	2.30557	4.328172	2.822445	0	3.416727	3.533897	3.777011	1.383277	1.964117	3.111084	2.066811	0.211666	0.700296	4.620582	4.21888
"Alistipes_A"	0.121232	0.681027	0.100132	0	0.776806	0.087019	0	0.56679	0.368439	0.082919	0	0.26784	0.264773	0	0	0.794725	0.539164	0	0.668281	0.090268	0.670657	0.349743	0.340461	0.670893	0	0	0.161831	0.156214	0.752798	0	0	0	0	0.223821	0.186038	0.592822	0	0	1.291755	0.259205	0.478339	0.930137	1.269449	0	0	0	0.197013	0.397584	0.233863	0.067157	0	0	0.146555	0	0.098035	0	0	0	0.031615	0	1.251512	0.094321	0	0.949144	0.494807	0.131665	1.17997	0	0.210629	0.114641	1.050841	0.070064	0	0.163101	0.122496	0	1.267723	0.151279	0.31132	0.279365	0.428035	0	1.345828	1.585622	0	0	0	1.000044	0.037602	0	0.069641	0.241253	0.133019	0	0	0.888434	0.491057
