#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Selenomonadales"	2.018615	1.195959	0.903779	0.514683	0	0	0	1.026452	0	0.342892	1.307737	1.120457	0	2.042826	1.358892	0.580396	0.956453	0	0	2.194491	0.297161	0	1.000622	0	1.419191	0	0	0	0	1.32781	0	0	0	0.978655	0	1.410356	0	1.370874	1.497706	1.067607	0.600473	1.357685	0	0.391254	0	0.034314	1.268767	1.331874	2.202828	1.119221	0	0	0.966844	1.700006	0	0	1.438762	1.70945	0.857764	0	0	0	0	0	0	0.426873	0	0.380415	0	1.585221	0.429732	0	1.9408	0.951566	1.142069	0.389396	0	0	0	1.233958	0	0	1.251395	0.332235	0.711605	1.264403	0	0	1.028689	0	0.598771	1.622365	1.801427	3.077252	0.540309	1.349182	1.088931
"Veillonellales"	1.181231	0.980581	0.174831	1.199933	1.53287	0	1.84148	0.171196	0.030133	3.266316	2.257534	0.990687	1.327595	3.67341	2.574065	1.619089	2.064814	0.605801	0	2.292651	0.756562	0.271281	1.278698	1.970328	0.834609	2.831043	0	0.860422	1.548359	2.25719	1.207035	0.028944	0.271725	0	0.097138	2.708513	1.251983	2.158398	2.810017	2.185473	2.123697	1.570497	0.602987	2.122385	2.994439	2.413917	1.630094	0.170658	4.105652	1.492575	0.552311	1.308795	0.950994	3.661261	1.055573	0	0.525719	3.662972	2.581756	1.518625	1.631201	0.08621	1.257653	0.779661	0.053859	1.952091	0	0.332229	0.348681	1.53308	2.25773	0.386551	0.969007	1.884585	1.270074	1.289876	0.609189	1.074069	0	1.270178	0	0	1.527359	0.225062	1.601959	1.499515	0	0.266204	0.73422	0.337914	0.544128	1.133304	0.094232	1.495827	0.838145	1.308378	0.062383
"Fusobacteriales"	1.012272	2.062722	0	0	0	0	0.819236	0	0	0.070699	0	0	0	0	0.454946	0	0	0	1.533756	0	0	0	0	0	0	0	0	0	1.049946	0	0	1.528066	0	0	0	0	0.287996	0.88961	0	0	0	0	0.333194	0	0	0.183505	0	0	0	0	0	0.953358	0	1.977661	0	1.477471	0	0	0	0	0	1.916518	0	0	0	2.718817	0	0	0	0	0	0	0	0	1.782093	0	0	0	0	0	1.139505	0.872349	0	0	0	0	0	0	0	0	0	0.036444	0	0	0	0	0.098707
"RF32"	0	0	2.236214	0.979866	0	0	0	0	0	0	0	0	0	0	1.401513	0	0	0	0	0	0	0	0	0	0	0	1.319729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.540559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565428	0	0	1.204304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136027	0	0	0	0	0	0	1.065118	1.182186	0	0	0	0
"Rs-D84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084796	0	0
"Burkholderiales"	0.77069	2.050465	1.091389	1.481429	1.215702	0.92925	1.05392	1.287941	1.143102	2.759047	1.423689	1.242315	0.76452	2.137352	2.530454	1.593293	0.632947	0	1.490062	0.153556	0.98459	0.620769	0.737537	0.791946	0.975193	3.156748	1.857363	1.000107	1.053881	1.634971	2.441143	0	1.285626	1.028329	0.998907	1.776314	2.315969	2.176628	1.166755	1.524805	1.962558	2.854103	0.750024	1.113894	1.859642	2.066301	1.809932	0	2.021357	1.326546	1.147336	1.212423	1.996332	3.892219	1.143538	1.020012	2.14096	2.543282	2.835699	1.847877	1.616017	0	2.215196	1.389941	0.661196	1.739243	0.583378	1.846279	2.686656	1.358554	2.287179	1.951278	1.282099	1.088523	1.082222	1.876778	0.963668	1.308151	2.297891	1.294874	2.860945	2.564454	2.12439	1.595531	1.24192	1.054417	1.285879	1.758664	0.939646	0.9039	1.251035	2.627526	2.065767	0	0.149969	1.778507	0.777808
"Enterobacterales"	0.232689	0.788842	0.031365	1.406283	1.37328	3.935569	8.755309	0.661668	0	1.64553	2.432975	1.000182	0	0.047263	7.131459	0	0.254867	6.003849	1.587533	1.031158	0.682411	0.259061	4.457453	2.735429	5.595793	3.397252	0.359604	1.469604	3.770887	7.053279	2.181687	3.188877	0.659035	0	1.691828	0.132123	3.674618	2.67521	0.98749	4.506323	0	1.39944	2.813937	2.658673	11.406198	7.678881	0.862894	0.582463	2.145135	1.635849	0.034768	0	1.029488	0.787531	0	0	0.465345	2.511942	1.692955	2.594182	1.876315	2.608094	0.712637	2.038523	0	3.906535	0.634237	0.186826	0.043585	3.382626	0.903092	3.081941	2.723996	2.737713	3.033048	3.251835	0.137559	2.973761	0.876314	0	0.675644	0.449323	1.296497	0.082389	2.377947	1.853979	2.473613	1.381685	0.453811	2.395586	1.238381	0	0.917847	0.789643	3.823513	0.225307	2.047569
"Pseudomonadales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059224
"Synergistales"	0	0	0	0.079916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210625	0	0.589304	0	0.078701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.519863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471429	0	0	0.090223	0	0	0.095734	0	0	0	0	0	0	0	0	0	0.051396	0	0	0	0	0	0.042044	0	0.02965	0	0	0	0	0	0	0	0	0	0	0.35304	0.133451
"Victivallales"	0	0	3.241058	0.283284	0.048279	0	0	0	0	0	0	0	0	0	0	0.184007	2.317993	0	0	0	1.632435	0.180854	0	0.211939	0	0	0.066429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.455275	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044584	0	0	0	0	0	0	0.121716	0.561981	0	2.401125	0	0	0	0	0	0	0	0	0	0.342386	0.172392	0	0	0	0	0.107787	2.600273	0	0	0	0	0.313996	0	0.276666	0	0	0	0.100213	1.012995	0
"Opitutales"	0	0.056033	0.362441	0	0.3802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.582257	0	0	0.115154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.228385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231962	0	0
"Verrucomicrobiales"	0	0	0.543081	0.663184	0	0	0	0	1.633002	0	0.051422	0	0	0	0	0	0	0	0	0.030128	0	0	1.275699	0.66337	0	0.045297	0.736922	0	0	0	0	0	0	0	1.095236	1.135625	0	0	0	0	0.803417	0	0.041818	0	0	0	0	0	0	0	0.523503	0	0	0	1.237916	0	1.359811	0	0	0.079671	0.036153	0	0	0	0.075828	0	0	0	0	0	0	0	0.047382	0	0	0	0	0	0	0	1.485292	0	1.172657	0.97326	0	0	0	0	0.056238	0	0	0	0	0	1.127572	1.186854	0
"Chlamydiales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05326	0	0
