#Datasets	 AA_0001	 AA_0003	 AA_0004	 AA_0006	 AA_0008	 AA_0009	 AA_0010	 AA_0012	 AA_0013	 AA_0014	 AA_0015	 AA_0016	 AA_0017	 AA_0018	 AA_0019	 AA_0021	 AA_0023	 AA_0025	 AA_0026	 AA_0027	 AA_0030	 AA_0032	 AA_0033	 AA_0034	 AA_0035	 AA_0036	 AA_0037	 AA_0038	 AA_0039	 AA_0040	 AA_0041	 AA_0042	 AA_0043	 AA_0044	 AA_0045	 AA_0046	 AA_0047	 AA_0048	 AA_0049	 AA_0050	 AA_0052	 AA_0053	 AA_0054	 AA_0055	 AA_0057	 AA_0058	 AA_0060	 AA_0061	 AA_0062	 AA_0065	 AA_0071	 AA_0080	 AA_0092	 AA_0093	 AA_0096	 AA_0097	 AA_0098	 AA_0099	 AA_0100	 AA_0102	 AA_0103	 AA_0104	 AA_0105	 AA_0106	 AA_0109	 AA_0111	 AA_0112	 AA_0113	 AA_0115	 AA_0116	 AA_0117	 AA_0118	 AA_0119	 AA_0120	 AA_0121	 AA_0123	 AA_0125	 AA_0126	 AA_0127	 AA_0128	 AA_0129	 AA_0130	 AA_0131	 AA_0132	 AA_0133	 AA_0134	 AA_0135	 AA_0136	 AA_0137	 AA_0138	 AA_0139	 AA_0141	 AA_0142	 AA_0143	 AA_0151	 AA_0152	 AA_0153
"Marinifilaceae"	3.996489	2.795285	1.624405	3.694097	1.494517	2.431761	0.249733	2.068026	0	1.062076	0	3.378443	4.749966	0.891068	0.847912	2.100877	1.870558	0	3.216085	3.337103	2.171795	3.309407	5.455966	4.477643	3.275925	3.179379	3.636283	3.05502	1.866126	3.728888	0	1.01003	0.121	1.463237	4.014747	2.297871	0	2.4421	1.959745	2.848431	3.076876	1.201816	2.784947	0	0	0	0	3.51749	2.744867	3.025023	2.145141	0	2.003242	0.0683	2.277615	3.041384	0.934083	0.747619	0.916238	2.304317	1.576025	3.733703	3.040438	1.632367	2.811585	0.630874	1.563083	0	1.496549	2.712389	3.466354	3.33476	0	1.917248	2.453988	0.396211	2.528024	1.50833	0	2.847819	3.624441	2.763298	0.705749	3.292369	2.638865	0.370684	2.072565	3.86587	0.711071	0.033657	1.470376	0	0.491558	0.032176	0.964374	2.021237	3.541843
"Muribaculaceae"	0.20533	0.176683	0.040231	0.819446	0	0	0	0.615191	0	0	0	0	0	0	0	0	0	0	0	0	0.547568	0	0	0.203497	0	0	0	0	0	0	0	0	0.98732	0	0	0.872876	0	0	0	0	0	0	0.05284	0.05582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.069573	0.909091	0.74599	0	0	0	0	0	0	0	0.186839	0	0	0	0	0	0	0.720324	0.631957	0	0	0	0	0	0	0	0	1.102318	0	0.066873	1.063621	0
"Rikenellaceae"	6.241724	4.625405	2.297256	2.953721	4.708401	2.73357	0	3.682449	0.797271	1.676448	1.100379	2.676418	2.720641	2.766793	1.407891	1.774745	3.578975	0.03573	3.890788	2.910094	3.985264	5.044229	2.5935	3.443141	2.400978	4.889187	4.416185	1.860297	2.490801	0.034307	0.145771	2.33607	1.137808	3.993216	4.681435	4.411703	0.084172	0	2.074979	3.124085	5.591542	5.336225	5.336856	0	0	0	2.757759	2.993588	1.277294	4.220312	3.043431	0	3.411948	0	2.766595	1.213897	1.691044	3.145714	3.874215	2.767627	2.630816	0.619119	2.096472	6.144879	2.002588	0.945721	5.25901	0.10269	1.684546	4.524042	2.794317	2.447968	0.920191	2.50772	3.354228	0	5.778557	2.557972	4.790274	4.733146	2.673706	0	3.589346	5.80943	2.781553	0	3.750157	5.133242	3.74508	1.361414	1.993985	3.296859	2.162853	0.21236	0.688437	5.432129	4.625483
"Tannerellaceae"	2.815099	2.717931	3.081471	2.440368	4.035195	4.178799	2.04117	0.849238	3.016569	3.520452	5.026549	3.504569	4.147091	5.985711	3.182152	4.678872	3.422483	3.119953	3.633276	4.379277	2.819582	2.38722	3.404156	2.330644	4.521008	6.345771	3.710093	4.010992	3.124691	2.970619	2.462286	2.66308	1.306598	2.878865	4.125997	2.158001	3.026173	4.73802	3.024506	2.607741	3.963731	2.755597	3.656132	2.031496	2.147824	3.790336	4.867656	2.930311	4.050545	4.591673	5.065081	5.383234	4.110243	5.360282	4.408169	4.504082	1.602483	4.902857	2.446129	4.314986	3.787824	3.513403	4.514316	5.285964	4.655643	1.367876	1.706275	3.954001	1.93933	3.564418	4.139486	2.287246	3.066062	2.980241	2.822419	0.040372	2.783027	3.651702	4.106082	2.27115	4.318703	1.878859	3.294773	5.600797	3.451673	4.513883	4.485825	5.522672	1.969362	1.936944	2.644598	4.231912	3.701428	0.135138	1.439523	3.194427	4.344862
"UBA11471"	0	0	0.939309	1.062045	0	0	0	0	0	0	0	0	1.52463	0	0	0	1.062676	0	0	0	0	0	0	0	0	0	0	0	0.044761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.043259	0	0	0.549602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203249	0.435706	0	1.380318	0	0	0	0	0	0	0	0.957335	0	0
"UBA932"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.674701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094743	0	0	0	0.229676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195691	0	0
"UBA1820"	0	0	0	0	0.253799	0	0	0	0.293372	0	0	0	0	0	0	0	0	0	0	0	0.445669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.735698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060571	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gastranaerophilaceae"	0.083322	0.057136	0.030319	0	0	0.047864	0	0	0.045809	0	0.031353	0	0.041382	0	0	0	1.883552	0	0.039358	0	0	0.044965	0	0.123375	0	0	0.034682	0.041903	0	0	0	0	0	0.037195	0	0.043118	0	0	0	0.038218	0	0	0	0.037213	0	0.046333	0	0.038153	0	0	0.042823	0	0	0.044268	0.055148	0	0	0.03619	0	0.035075	0	0.040831	0.033245	0	0.041943	0.043631	0.311654	0.035645	0	0.033441	0	0.055727	0.057745	0	0	0.841243	0.047813	0	0	0	0	0.053845	0.042959	0	0.043316	0	0.035072	0	0.034495	0	0	0.043628	0.03318	0.064351	2.633376	0.03296	0.030916
"Desulfovibrionaceae"	1.172462	1.535649	0.465865	1.07762	0.284766	1.058328	0.083725	0.33042	1.624756	0.455682	2.578002	3.153954	1.20088	1.144153	1.385055	1.960243	0.614668	0	0	0.948583	2.144921	0.541212	1.138225	0.694868	1.046191	1.326725	0.808359	2.243271	1.070965	1.186664	0.115261	1.301039	1.027993	0.878537	0.607409	1.337708	1.972023	1.344845	1.034801	0.756221	0.748594	0.9397	3.43732	1.270319	0	0.164407	0.091015	1.873203	1.077552	0.958431	1.598399	1.693683	3.09461	0.027826	1.100204	1.488375	1.380615	1.600952	0.848368	0.944566	1.19543	1.18886	1.331829	2.099002	1.387665	1.656781	0.573973	0	0.102244	0.559053	1.747953	0.169605	0.711565	0.241622	0.961923	0.733271	0.760456	0.951291	0.538976	0.381692	0.151253	0.064156	1.435278	1.30093	1.27824	1.181329	1.377813	1.353529	0.918043	0	0.901738	1.411423	0.469437	0.398979	0.257636	1.51526	1.908854
"Anaeroplasmataceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114739	0	0
